text,amount,category
Tatra banka,0.0,Banky a financie
Tatra banka SK,0.0,Banky a financie
TatraBank,0.0,Banky a financie
UniCredit,0.0,Banky a financie
UniCredit Bank,0.0,Banky a financie
uver,0.0,Banky a financie
Vkladomat,0.0,Banky a financie
VUB,0.0,Banky a financie
vyber z bankomatu,0.0,Banky a financie
VÚB,0.0,Banky a financie
Výber z bankomatu,0.0,Banky a financie
Všeobecná úverová banka,0.0,Banky a financie
úver,0.0,Banky a financie
ČSOB,0.0,Banky a financie
benzin,0.0,Benzin
Benzina,0.0,Benzin
Benzina SK,0.0,Benzin
benzín,0.0,Benzin
diesel,0.0,Benzin
JURKI,0.0,Benzin
JURKI Tankovanie,0.0,Benzin
MOL,0.0,Benzin
MOL Slovensko,0.0,Benzin
nafta,0.0,Benzin
OMV,0.0,Benzin
OMV Slovensko,0.0,Benzin
ORLEN,0.0,Benzin
ORLEN Slovensko,0.0,Benzin
palivo,0.0,Benzin
Pumpa,0.0,Benzin
Samoobslužná čerpacia stanica,0.0,Benzin
Shell,0.0,Benzin
SHELL SK,0.0,Benzin
Slovnaft,0.0,Benzin
SLOVNAFT SK,0.0,Benzin
Tank ONO,0.0,Benzin
TANKER,0.0,Benzin
Tanker Slovensko,0.0,Benzin
Tesco čerpacia stanica,0.0,Benzin
Čerpacia stanica,0.0,Benzin
ČS OMV,0.0,Benzin
ČS Shell,0.0,Benzin
ČS Slovnaft,0.0,Benzin
Bratislavská vodárenská spoločnosť,0.0,Byvanie a energie
BVS,0.0,Byvanie a energie
Central heating,0.0,Byvanie a energie
Elektrina,0.0,Byvanie a energie
energie,0.0,Byvanie a energie
innogy,0.0,Byvanie a energie
Internet faktúra,0.0,Byvanie a energie
Kosit,0.0,Byvanie a energie
Najom,0.0,Byvanie a energie
Nájom,0.0,Byvanie a energie
nájom bytu,0.0,Byvanie a energie
nájomné,0.0,Byvanie a energie
Odvoz odpadu,0.0,Byvanie a energie
OLO,0.0,Byvanie a energie
platba za nájom,0.0,Byvanie a energie
Plyn,0.0,Byvanie a energie
Slovenská elektrizačná prenosová sústava,0.0,Byvanie a energie
Slovenský plynárenský priemysel,0.0,Byvanie a energie
SPP,0.0,Byvanie a energie
Správa bytov,0.0,Byvanie a energie
Správcovská spoločnosť,0.0,Byvanie a energie
SSE,0.0,Byvanie a energie
Stredoslovenská energetika,0.0,Byvanie a energie
Stredoslovenská vodárenská prevádzková spoločnosť,0.0,Byvanie a energie
StVPS,0.0,Byvanie a energie
Teplo,0.0,Byvanie a energie
Voda,0.0,Byvanie a energie
Vodárne,0.0,Byvanie a energie
VSE,0.0,Byvanie a energie
Východoslovenská distribučná,0.0,Byvanie a energie
Východoslovenská energetika,0.0,Byvanie a energie
Východoslovenská vodárenská spoločnosť,0.0,Byvanie a energie
ZSE,0.0,Byvanie a energie
ZSE Energia,0.0,Byvanie a energie
Západoslovenská distribučná,0.0,Byvanie a energie
Agoda,0.0,Cestovanie
Airbnb,0.0,Cestovanie
Apartmán,0.0,Cestovanie
Austrian Airlines,0.0,Cestovanie
BlaBlaCar,0.0,Cestovanie
BOOKING,0.0,Cestovanie
Booking.com,0.0,Cestovanie
Bratislava Airport,0.0,Cestovanie
Camping,0.0,Cestovanie
easyJet,0.0,Cestovanie
Emirates,0.0,Cestovanie
Eurowings,0.0,Cestovanie
Expedia,0.0,Cestovanie
Hostel,0.0,Cestovanie
Hostelworld,0.0,Cestovanie
Hotel,0.0,Cestovanie
Hotels,0.0,Cestovanie
Hotels.com,0.0,Cestovanie
Kemping,0.0,Cestovanie
KIWI,0.0,Cestovanie
Kiwi.com,0.0,Cestovanie
KLM,0.0,Cestovanie
Košice Airport,0.0,Cestovanie
Letenka,0.0,Cestovanie
Letisko Bratislava,0.0,Cestovanie
Letisko Košice,0.0,Cestovanie
LOT Polish Airlines,0.0,Cestovanie
Lufthansa,0.0,Cestovanie
Lístok,0.0,Cestovanie
Pension,0.0,Cestovanie
Penzión,0.0,Cestovanie
Qatar Airways,0.0,Cestovanie
Ryanair,0.0,Cestovanie
Smartwings,0.0,Cestovanie
Trivago,0.0,Cestovanie
Turkish Airlines,0.0,Cestovanie
Ubytovanie,0.0,Cestovanie
Wizz Air,0.0,Cestovanie
Wizzair,0.0,Cestovanie
4home,0.0,Domacnost
4HOME SK,0.0,Domacnost
Action,0.0,Domacnost
Bonami,0.0,Domacnost
Bonami.sk,0.0,Domacnost
Domoss,0.0,Domacnost
Domoss SK,0.0,Domacnost
HomeMax,0.0,Domacnost
Hornbach,0.0,Domacnost
HORNBACH SK,0.0,Domacnost
IKEA,0.0,Domacnost
IKEA Slovensko,0.0,Domacnost
JYSK,0.0,Domacnost
JYSK SK,0.0,Domacnost
KiK,0.0,Domacnost
KIK SK,0.0,Domacnost
Kinekus,0.0,Domacnost
Kinekus SK,0.0,Domacnost
Merkury Market,0.0,Domacnost
MERKURY MARKET SK,0.0,Domacnost
MOBELIX,0.0,Domacnost
Mountfield,0.0,Domacnost
MOUNTFIELD SK,0.0,Domacnost
Möbelix,0.0,Domacnost
OBI,0.0,Domacnost
OBI SK,0.0,Domacnost
Pepco Home,0.0,Domacnost
Sconto,0.0,Domacnost
SCONTO SK,0.0,Domacnost
TEDi,0.0,Domacnost
TEDi SK,0.0,Domacnost
Tescoma,0.0,Domacnost
XXXLutz,0.0,Domacnost
XXXLutz SK,0.0,Domacnost
Airport Transfer,0.0,Doprava
Arriva,0.0,Doprava
ARRIVA SK,0.0,Doprava
autobus,0.0,Doprava
Bolt,0.0,Doprava
Bolt Ride,0.0,Doprava
Bolt Taxi,0.0,Doprava
dialnicna znamka,0.0,Doprava
diaľničná známka,0.0,Doprava
Dopravná karta,0.0,Doprava
Dopravný podnik Bratislava,0.0,Doprava
Dopravný podnik mesta Košice,0.0,Doprava
Dopravný podnik Prešov,0.0,Doprava
Dopravný podnik Žilina,0.0,Doprava
DPB,0.0,Doprava
DPMB,0.0,Doprava
DPMK,0.0,Doprava
DPMM,0.0,Doprava
DPMP,0.0,Doprava
DPMŽ,0.0,Doprava
EasyPark,0.0,Doprava
Eurobus,0.0,Doprava
FlixBus,0.0,Doprava
FLIXBUS SK,0.0,Doprava
Hopin,0.0,Doprava
HOPIN Taxi,0.0,Doprava
IDS BK,0.0,Doprava
IDS JMK,0.0,Doprava
IDS Východ,0.0,Doprava
Leo Express,0.0,Doprava
LEO EXPRESS SK,0.0,Doprava
Liftago,0.0,Doprava
MHD Banská Bystrica,0.0,Doprava
MHD Bratislava,0.0,Doprava
MHD Košice,0.0,Doprava
MHD Nitra,0.0,Doprava
MHD Poprad,0.0,Doprava
MHD Prešov,0.0,Doprava
MHD Trenčín,0.0,Doprava
MHD Trnava,0.0,Doprava
MHD Žilina,0.0,Doprava
ParkDots,0.0,Doprava
Parkovanie,0.0,Doprava
parkovne,0.0,Doprava
Parkovné,0.0,Doprava
RegioJet,0.0,Doprava
SAD Košice,0.0,Doprava
SAD Prešov,0.0,Doprava
Slovak Lines,0.0,Doprava
SLOVAK LINES SK,0.0,Doprava
Taxi,0.0,Doprava
Uber,0.0,Doprava
Ubian,0.0,Doprava
vlak,0.0,Doprava
ZSR,0.0,Doprava
ZSSK,0.0,Doprava
Železničná spoločnosť Slovensko,0.0,Doprava
ŽSR,0.0,Doprava
101 Drogerie,0.0,Drogeria
101 DROGERIE SK,0.0,Drogeria
dm,0.0,Drogeria
dm drogerie markt,0.0,Drogeria
dm drogerie markt Slovensko,0.0,Drogeria
DM SK,0.0,Drogeria
DM Slovensko,0.0,Drogeria
Douglas,0.0,Drogeria
Kozmetika Hebe,0.0,Drogeria
Marionnaud,0.0,Drogeria
moja lekaren,0.0,Drogeria
Notino,0.0,Drogeria
NOTINO SK,0.0,Drogeria
Rituals,0.0,Drogeria
Sephora,0.0,Drogeria
TETA,0.0,Drogeria
Teta drogerie,0.0,Drogeria
The Body Shop,0.0,Drogeria
Yves Rocher,0.0,Drogeria
Alza,0.0,Elektronika
ALZA SK,0.0,Elektronika
Alza.sk,0.0,Elektronika
Andrea Shop,0.0,Elektronika
Brloh,0.0,Elektronika
Euronics,0.0,Elektronika
EURONICS SK,0.0,Elektronika
Expert,0.0,Elektronika
expert SK,0.0,Elektronika
iStores,0.0,Elektronika
iSTYLE,0.0,Elektronika
Mironet,0.0,Elektronika
Mobilonline,0.0,Elektronika
MobilPC,0.0,Elektronika
NAY,0.0,Elektronika
NAY Elektrodom,0.0,Elektronika
NAY SK,0.0,Elektronika
OKAY,0.0,Elektronika
OKAY.sk,0.0,Elektronika
PLANEO,0.0,Elektronika
Planeo Elektro,0.0,Elektronika
Smarty,0.0,Elektronika
Smarty.sk,0.0,Elektronika
TPD,0.0,Elektronika
BENU,0.0,Lekaren
Benu Lekáreň,0.0,Lekaren
Dr Max,0.0,Lekaren
Dr. Max Lekáreň,0.0,Lekaren
Dr.Max,0.0,Lekaren
DRMAX SK,0.0,Lekaren
eTabletka,0.0,Lekaren
Lekaren,0.0,Lekaren
Lekáreň,0.0,Lekaren
Lekáreň Pilulka,0.0,Lekaren
Lekáreň Tilia,0.0,Lekaren
Moja Lekáreň,0.0,Lekaren
Pilulka.sk,0.0,Lekaren
Všeobecná lekáreň,0.0,Lekaren
ABOUT YOU,0.0,Oblecenie
AboutYou,0.0,Oblecenie
ACTION SK,0.0,Oblecenie
Answear,0.0,Oblecenie
ANSWEAR SK,0.0,Oblecenie
BATA SK,0.0,Oblecenie
Baťa,0.0,Oblecenie
Bershka,0.0,Oblecenie
Bonprix,0.0,Oblecenie
C&A,0.0,Oblecenie
C&A SK,0.0,Oblecenie
Calvin Klein,0.0,Oblecenie
CCC,0.0,Oblecenie
CCC Shoes,0.0,Oblecenie
Cropp,0.0,Oblecenie
Deichmann,0.0,Oblecenie
DEICHMANN SK,0.0,Oblecenie
Foot Locker,0.0,Oblecenie
Footshop,0.0,Oblecenie
H&M,0.0,Oblecenie
H&M SK,0.0,Oblecenie
House,0.0,Oblecenie
House Brand,0.0,Oblecenie
Humanic,0.0,Oblecenie
Levis,0.0,Oblecenie
Levi’s,0.0,Oblecenie
Mohito,0.0,Oblecenie
New Yorker,0.0,Oblecenie
NEW YORKER SK,0.0,Oblecenie
Peek & Cloppenburg,0.0,Oblecenie
Pepco,0.0,Oblecenie
PEPCO SK,0.0,Oblecenie
Pull&Bear,0.0,Oblecenie
Reserved,0.0,Oblecenie
RESERVED SK,0.0,Oblecenie
Reserved.com,0.0,Oblecenie
Sinsay,0.0,Oblecenie
SINSAY SK,0.0,Oblecenie
Sizeer,0.0,Oblecenie
SPORTISIMO SK,0.0,Oblecenie
Stradivarius,0.0,Oblecenie
Stradyvarius,0.0,Oblecenie
Takko,0.0,Oblecenie
Takko Fashion,0.0,Oblecenie
Tommy Hilfiger,0.0,Oblecenie
Versace,0.0,Oblecenie
Zalando,0.0,Oblecenie
ZALANDO SK,0.0,Oblecenie
Zara,0.0,Oblecenie
ZARA SK,0.0,Oblecenie
AliExpress,0.0,Online nakupovanie
Amazon,0.0,Online nakupovanie
AMAZON.DE,0.0,Online nakupovanie
Astratex,0.0,Online nakupovanie
BAZOS.SK,0.0,Online nakupovanie
Bazoš,0.0,Online nakupovanie
eBay,0.0,Online nakupovanie
Etsy,0.0,Online nakupovanie
Etsy.com,0.0,Online nakupovanie
Facebook Marketplace,0.0,Online nakupovanie
Favi,0.0,Online nakupovanie
FAVI SK,0.0,Online nakupovanie
Google Shopping,0.0,Online nakupovanie
Heureka,0.0,Online nakupovanie
Heureka.sk,0.0,Online nakupovanie
Mall,0.0,Online nakupovanie
MALL.SK,0.0,Online nakupovanie
NajNakup,0.0,Online nakupovanie
NajNakup.sk,0.0,Online nakupovanie
Parfimo,0.0,Online nakupovanie
Pricemania,0.0,Online nakupovanie
Shein,0.0,Online nakupovanie
Temu,0.0,Online nakupovanie
TEMU SK,0.0,Online nakupovanie
Vinted,0.0,Online nakupovanie
VINTED SK,0.0,Online nakupovanie
Vivantis,0.0,Online nakupovanie
Wish,0.0,Online nakupovanie
Adobe,0.0,Online sluzby
Adobe Creative Cloud,0.0,Online sluzby
Amazon Web Services,0.0,Online sluzby
AWS,0.0,Online sluzby
Canva,0.0,Online sluzby
ChatGPT,0.0,Online sluzby
Cloudflare,0.0,Online sluzby
DigitalOcean,0.0,Online sluzby
Discord Nitro,0.0,Online sluzby
Doména,0.0,Online sluzby
Dropbox,0.0,Online sluzby
Figma,0.0,Online sluzby
GitHub,0.0,Online sluzby
GitHub Copilot,0.0,Online sluzby
Google Cloud,0.0,Online sluzby
Google Workspace,0.0,Online sluzby
Hetzner,0.0,Online sluzby
Hosting,0.0,Online sluzby
iCloud,0.0,Online sluzby
JetBrains,0.0,Online sluzby
Microsoft,0.0,Online sluzby
Microsoft 365,0.0,Online sluzby
Microsoft Teams,0.0,Online sluzby
Office 365,0.0,Online sluzby
OneDrive,0.0,Online sluzby
OpenAI,0.0,Online sluzby
platobna brana,0.0,Online sluzby
platobná brána,0.0,Online sluzby
Slack,0.0,Online sluzby
SWAN hosting,0.0,Online sluzby
VPS,0.0,Online sluzby
Websupport,0.0,Online sluzby
Websupport.sk,0.0,Online sluzby
WEDOS,0.0,Online sluzby
WEDOS SK,0.0,Online sluzby
Zoom,0.0,Online sluzby
Allianz,0.0,Poistenie
Allianz Slovensko,0.0,Poistenie
Cestovné poistenie,0.0,Poistenie
Colonnade,0.0,Poistenie
Generali,0.0,Poistenie
Generali Slovensko,0.0,Poistenie
Havarijné poistenie,0.0,Poistenie
Kooperativa,0.0,Poistenie
MetLife,0.0,Poistenie
NN,0.0,Poistenie
NN Životná poisťovňa,0.0,Poistenie
Poistenie,0.0,Poistenie
Poistné,0.0,Poistenie
Poisťovňa,0.0,Poistenie
Prvá stavebná sporiteľňa,0.0,Poistenie
PSS,0.0,Poistenie
PZP,0.0,Poistenie
Union,0.0,Poistenie
Union poisťovňa,0.0,Poistenie
UNIQA,0.0,Poistenie
UNIQA SK,0.0,Poistenie
Wüstenrot,0.0,Poistenie
ČSOB Poisťovňa,0.0,Poistenie
Životné poistenie,0.0,Poistenie
AlzaBox,0.0,Posta a kurierske sluzby
Balíkobox,0.0,Posta a kurierske sluzby
Balíkovo,0.0,Posta a kurierske sluzby
DHL,0.0,Posta a kurierske sluzby
DHL Express,0.0,Posta a kurierske sluzby
doprava zasielky,0.0,Posta a kurierske sluzby
doprava zásielky,0.0,Posta a kurierske sluzby
Doručenie zásielky,0.0,Posta a kurierske sluzby
DPD,0.0,Posta a kurierske sluzby
DPD SK,0.0,Posta a kurierske sluzby
FedEx,0.0,Posta a kurierske sluzby
GLS,0.0,Posta a kurierske sluzby
GLS Slovakia,0.0,Posta a kurierske sluzby
kurier,0.0,Posta a kurierske sluzby
kuriér,0.0,Posta a kurierske sluzby
Kuriérska služba,0.0,Posta a kurierske sluzby
Packeta,0.0,Posta a kurierske sluzby
PACKETA SK,0.0,Posta a kurierske sluzby
Packeta Slovakia,0.0,Posta a kurierske sluzby
ParcelShop,0.0,Posta a kurierske sluzby
postovne,0.0,Posta a kurierske sluzby
Pošta,0.0,Posta a kurierske sluzby
Poštovné,0.0,Posta a kurierske sluzby
Slovak Parcel Service,0.0,Posta a kurierske sluzby
SLOVENSKA POSTA,0.0,Posta a kurierske sluzby
Slovenská pošta,0.0,Posta a kurierske sluzby
SPS,0.0,Posta a kurierske sluzby
UPS,0.0,Posta a kurierske sluzby
UPS Slovakia,0.0,Posta a kurierske sluzby
Z-BOX,0.0,Posta a kurierske sluzby
ZBOX,0.0,Posta a kurierske sluzby
BALA,0.0,Potraviny
BALA SK,0.0,Potraviny
Bezobalovy obchod,0.0,Potraviny
Bezobalový obchod,0.0,Potraviny
Biedronka,0.0,Potraviny
Biedronka SK,0.0,Potraviny
Billa,0.0,Potraviny
BILLA SK,0.0,Potraviny
BILLA Slovensko,0.0,Potraviny
Bio obchod,0.0,Potraviny
CBA,0.0,Potraviny
CBA SK,0.0,Potraviny
CBA Verex,0.0,Potraviny
COOP,0.0,Potraviny
COOP Jednota,0.0,Potraviny
COOP Jednota Slovensko,0.0,Potraviny
COOP SK,0.0,Potraviny
Cukraren,0.0,Potraviny
Cukráreň,0.0,Potraviny
Delia,0.0,Potraviny
Delia Potraviny,0.0,Potraviny
Fajne Potraviny,0.0,Potraviny
Farmarske potraviny,0.0,Potraviny
Farmárske potraviny,0.0,Potraviny
Fresh,0.0,Potraviny
FRESH Corner,0.0,Potraviny
FRESH Market,0.0,Potraviny
Fresh Plus,0.0,Potraviny
FRESH Potraviny,0.0,Potraviny
FRESH SK,0.0,Potraviny
Gastro DS,0.0,Potraviny
Hypermarket,0.0,Potraviny
I.D.C. Holding,0.0,Potraviny
Karmen,0.0,Potraviny
Karmen Potraviny,0.0,Potraviny
Kaufland,0.0,Potraviny
KAUFLAND SK,0.0,Potraviny
Kaufland Slovensko,0.0,Potraviny
Klas,0.0,Potraviny
KLAS pekáreň,0.0,Potraviny
Koruna,0.0,Potraviny
Koruna Potraviny,0.0,Potraviny
Kraj,0.0,Potraviny
KRAJ potraviny,0.0,Potraviny
KRAJ SK,0.0,Potraviny
Kvetinarstvo,0.0,Potraviny
Kvetiny,0.0,Potraviny
Kvetinárstvo,0.0,Potraviny
Lahodky,0.0,Potraviny
Lahôdky,0.0,Potraviny
Lidl,0.0,Potraviny
LIDL SK,0.0,Potraviny
LIDL SLOVAKIA,0.0,Potraviny
Lidl Slovensko,0.0,Potraviny
Lunys,0.0,Potraviny
Makro,0.0,Potraviny
Masiaren,0.0,Potraviny
METRO,0.0,Potraviny
METRO Cash & Carry,0.0,Potraviny
Mikuláš,0.0,Potraviny
Milk-Agro,0.0,Potraviny
Minipredajna,0.0,Potraviny
Minipredajňa,0.0,Potraviny
Minit,0.0,Potraviny
MINIT Slovensko,0.0,Potraviny
Moj obchod,0.0,Potraviny
Moja Samoška,0.0,Potraviny
Mäsiareň,0.0,Potraviny
Môj obchod,0.0,Potraviny
Pekaren,0.0,Potraviny
Pekáreň,0.0,Potraviny
PENNY,0.0,Potraviny
Penny Market,0.0,Potraviny
Potraviny,0.0,Potraviny
Potraviny Karmen,0.0,Potraviny
Potraviny u Štefana,0.0,Potraviny
Potraviny VIVA,0.0,Potraviny
Rajo,0.0,Potraviny
Ryby a hydina,0.0,Potraviny
Sedita,0.0,Potraviny
Sintra,0.0,Potraviny
SINTRA SK,0.0,Potraviny
Supermarket,0.0,Potraviny
TAMI,0.0,Potraviny
Terno,0.0,Potraviny
Terno real estate,0.0,Potraviny
TERNO SK,0.0,Potraviny
Tesco,0.0,Potraviny
TESCO SK,0.0,Potraviny
Tesco Slovensko,0.0,Potraviny
Tesco Stores,0.0,Potraviny
Vecierka,0.0,Potraviny
Vegetariánske potraviny,0.0,Potraviny
Vegánske potraviny,0.0,Potraviny
Velička,0.0,Potraviny
Večierka,0.0,Potraviny
Vinoteka,0.0,Potraviny
Vinotéka,0.0,Potraviny
YEME,0.0,Potraviny
YEME SK,0.0,Potraviny
BAGETERIE,0.0,Restauracie
Bageterie Boulevard,0.0,Restauracie
Bar,0.0,Restauracie
Bistro,0.0,Restauracie
Burger King,0.0,Restauracie
BURGER KING SK,0.0,Restauracie
Costa Coffee,0.0,Restauracie
Costa Coffee SK,0.0,Restauracie
Dominos Pizza,0.0,Restauracie
DOMINO’S,0.0,Restauracie
Fast food,0.0,Restauracie
Kaviaren,0.0,Restauracie
Kaviareň,0.0,Restauracie
KFC,0.0,Restauracie
KFC SK,0.0,Restauracie
KOLIBA,0.0,Restauracie
Koliba U dobrého pastiera,0.0,Restauracie
McDonalds,0.0,Restauracie
MCDONALDS SK,0.0,Restauracie
McDonald’s,0.0,Restauracie
Mondieu,0.0,Restauracie
Panta Rhei Café,0.0,Restauracie
Pho,0.0,Restauracie
Pizza Hut,0.0,Restauracie
Pizza Mizza,0.0,Restauracie
Pub,0.0,Restauracie
Regal Burger,0.0,Restauracie
Restauracia,0.0,Restauracie
Reštaurácia,0.0,Restauracie
Rybárska bašta,0.0,Restauracie
Starbucks,0.0,Restauracie
STARBUCKS SK,0.0,Restauracie
Street food,0.0,Restauracie
Subway,0.0,Restauracie
Urban House,0.0,Restauracie
Vapiano,0.0,Restauracie
Vináreň,0.0,Restauracie
BISTRO SK,0.0,Rozvoz jedla
Bistro.sk,0.0,Rozvoz jedla
Bolt Food,0.0,Rozvoz jedla
Bolt Market,0.0,Rozvoz jedla
donaska,0.0,Rozvoz jedla
donáška,0.0,Rozvoz jedla
Donáška jedla,0.0,Rozvoz jedla
Doručenie jedla,0.0,Rozvoz jedla
Expres donáška,0.0,Rozvoz jedla
Menicka,0.0,Rozvoz jedla
Menučka,0.0,Rozvoz jedla
Pizza rozvoz,0.0,Rozvoz jedla
rozvoz,0.0,Rozvoz jedla
Rozvoz jedla,0.0,Rozvoz jedla
Wolt,0.0,Rozvoz jedla
Wolt Drive,0.0,Rozvoz jedla
Wolt Market,0.0,Rozvoz jedla
WOLT SK,0.0,Rozvoz jedla
4F,0.0,Sport
4F SK,0.0,Sport
Adidas,0.0,Sport
Aktin,0.0,Sport
Bike shop,0.0,Sport
Cyklo predajňa,0.0,Sport
Decathlon,0.0,Sport
DECATHLON SK,0.0,Sport
Fitness,0.0,Sport
Fitness centrum,0.0,Sport
FitUp,0.0,Sport
FitUp Fitness,0.0,Sport
Form Factory,0.0,Sport
Futbal,0.0,Sport
Golem Club,0.0,Sport
GymBeam,0.0,Sport
INTERSPORT,0.0,Sport
INTERSPORT SK,0.0,Sport
Lyžiarsky servis,0.0,Sport
MyProtein,0.0,Sport
Nike,0.0,Sport
Nutrend,0.0,Sport
Plavaren,0.0,Sport
Plaváreň,0.0,Sport
Posilovna,0.0,Sport
Posilňovňa,0.0,Sport
Požičovňa lyží,0.0,Sport
Puma,0.0,Sport
Reebok,0.0,Sport
Sportisimo,0.0,Sport
Under Armour,0.0,Sport
Velká športová taška,0.0,Sport
Šport,0.0,Sport
Športové potreby,0.0,Sport
Amazon Prime,0.0,Streaming a online sluzby
Antik TV,0.0,Streaming a online sluzby
App Store,0.0,Streaming a online sluzby
Apple Services,0.0,Streaming a online sluzby
Apple.com/bill,0.0,Streaming a online sluzby
Canal+,0.0,Streaming a online sluzby
Deezer,0.0,Streaming a online sluzby
DIGI TV,0.0,Streaming a online sluzby
Disney Plus,0.0,Streaming a online sluzby
Disney+,0.0,Streaming a online sluzby
Facebook Ads,0.0,Streaming a online sluzby
Google Ads,0.0,Streaming a online sluzby
Google One,0.0,Streaming a online sluzby
Google Play,0.0,Streaming a online sluzby
HBO Max,0.0,Streaming a online sluzby
iTunes.com/bill,0.0,Streaming a online sluzby
JOJ Play,0.0,Streaming a online sluzby
JOJPLAY,0.0,Streaming a online sluzby
Magio GO,0.0,Streaming a online sluzby
Magio TV,0.0,Streaming a online sluzby
Max,0.0,Streaming a online sluzby
Meta Platforms,0.0,Streaming a online sluzby
Netflix,0.0,Streaming a online sluzby
NETFLIX SK,0.0,Streaming a online sluzby
O2 TV,0.0,Streaming a online sluzby
Orange TV,0.0,Streaming a online sluzby
Patreon,0.0,Streaming a online sluzby
predplatne,0.0,Streaming a online sluzby
predplatné,0.0,Streaming a online sluzby
Prime Video,0.0,Streaming a online sluzby
Skylink,0.0,Streaming a online sluzby
Skylink SK,0.0,Streaming a online sluzby
SkyShowtime,0.0,Streaming a online sluzby
SkyShowtime SK,0.0,Streaming a online sluzby
Spotify,0.0,Streaming a online sluzby
SPOTIFY SK,0.0,Streaming a online sluzby
Streamio,0.0,Streaming a online sluzby
Tidal,0.0,Streaming a online sluzby
Twitch,0.0,Streaming a online sluzby
Voyo,0.0,Streaming a online sluzby
VOYO SK,0.0,Streaming a online sluzby
YouTube Music,0.0,Streaming a online sluzby
YouTube Premium,0.0,Streaming a online sluzby
4ka,0.0,Telefon a internet
4ka mobil,0.0,Telefon a internet
Antik,0.0,Telefon a internet
ANTIK Telecom,0.0,Telefon a internet
DIGI Slovakia,0.0,Telefon a internet
internet,0.0,Telefon a internet
mobil,0.0,Telefon a internet
O2 SK,0.0,Telefon a internet
O2 Slovakia,0.0,Telefon a internet
O2 Slovensko,0.0,Telefon a internet
Orange,0.0,Telefon a internet
ORANGE SK,0.0,Telefon a internet
Orange Slovensko,0.0,Telefon a internet
pausal,0.0,Telefon a internet
paušál,0.0,Telefon a internet
poplatok za internet,0.0,Telefon a internet
Radost,0.0,Telefon a internet
Radosť,0.0,Telefon a internet
Satro,0.0,Telefon a internet
Slovak Telekom,0.0,Telefon a internet
SWAN,0.0,Telefon a internet
SWAN Mobile,0.0,Telefon a internet
SWAN SK,0.0,Telefon a internet
telefon,0.0,Telefon a internet
telefón,0.0,Telefon a internet
Telekom,0.0,Telefon a internet
TELEKOM SK,0.0,Telefon a internet
UPC,0.0,Telefon a internet
UPC Slovensko,0.0,Telefon a internet
VNET,0.0,Telefon a internet
VNET SK,0.0,Telefon a internet
Advokatska kancelaria,0.0,Uradne a poplatky
Advokát,0.0,Uradne a poplatky
Danovy poradca,0.0,Uradne a poplatky
Daň z nehnuteľnosti,0.0,Uradne a poplatky
Daňový poradca,0.0,Uradne a poplatky
DOVERA,0.0,Uradne a poplatky
Dôvera,0.0,Uradne a poplatky
E-kolok,0.0,Uradne a poplatky
Elektrárne,0.0,Uradne a poplatky
Finančný úrad,0.0,Uradne a poplatky
Kolková známka,0.0,Uradne a poplatky
Komunálny odpad,0.0,Uradne a poplatky
Mestský úrad,0.0,Uradne a poplatky
Miestny poplatok,0.0,Uradne a poplatky
Notár,0.0,Uradne a poplatky
